"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 02:52:38 UTC 2024","Tue Jan 23 02:52:58 UTC 2024","19548","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Tue Jan 23 02:54:34 UTC 2024","Tue Jan 23 02:54:49 UTC 2024","15495","","6. Company Account","","","","1. Validate login credentials",""
"passed","Tue Jan 23 02:32:27 UTC 2024","Tue Jan 23 02:32:52 UTC 2024","24824","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Tue Jan 23 02:55:37 UTC 2024","Tue Jan 23 02:55:40 UTC 2024","2567","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Jan 23 03:52:45 UTC 2024","Tue Jan 23 03:52:49 UTC 2024","4200","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Tue Jan 23 02:55:40 UTC 2024","Tue Jan 23 02:55:40 UTC 2024","383","","6. Company Account","","","","9. Review Final Review",""
"passed","Tue Jan 23 03:17:26 UTC 2024","Tue Jan 23 03:17:47 UTC 2024","21185","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Tue Jan 23 02:31:04 UTC 2024","Tue Jan 23 02:31:28 UTC 2024","24104","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Tue Jan 23 03:17:21 UTC 2024","Tue Jan 23 03:17:23 UTC 2024","1889","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Jan 23 02:46:06 UTC 2024","Tue Jan 23 02:46:11 UTC 2024","4899","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Jan 23 03:07:06 UTC 2024","Tue Jan 23 03:07:07 UTC 2024","1207","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Tue Jan 23 02:37:58 UTC 2024","Tue Jan 23 02:38:18 UTC 2024","20010","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"skipped","Tue Jan 23 04:21:18 UTC 2024","Tue Jan 23 04:21:18 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Jan 23 03:38:10 UTC 2024","Tue Jan 23 03:38:11 UTC 2024","972","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Tue Jan 23 03:17:49 UTC 2024","Tue Jan 23 03:18:34 UTC 2024","44626","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Tue Jan 23 03:51:02 UTC 2024","Tue Jan 23 03:51:05 UTC 2024","3686","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"skipped","Tue Jan 23 04:21:18 UTC 2024","Tue Jan 23 04:21:18 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Tue Jan 23 03:50:09 UTC 2024","Tue Jan 23 03:50:23 UTC 2024","14234","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Tue Jan 23 02:52:36 UTC 2024","Tue Jan 23 02:52:38 UTC 2024","2060","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Jan 23 02:43:56 UTC 2024","Tue Jan 23 02:44:01 UTC 2024","4342","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Jan 23 02:49:50 UTC 2024","Tue Jan 23 02:49:52 UTC 2024","2182","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Tue Jan 23 02:37:24 UTC 2024","Tue Jan 23 02:37:41 UTC 2024","17508","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Jan 23 02:30:41 UTC 2024","Tue Jan 23 02:30:41 UTC 2024","22","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Tue Jan 23 03:52:53 UTC 2024","Tue Jan 23 03:52:55 UTC 2024","1613","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Tue Jan 23 03:06:26 UTC 2024","Tue Jan 23 03:06:26 UTC 2024","244","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Tue Jan 23 03:00:08 UTC 2024","Tue Jan 23 03:00:27 UTC 2024","18872","","9. Client Portal - Home","","","","1. Check links",""
"passed","Tue Jan 23 02:51:43 UTC 2024","Tue Jan 23 02:51:59 UTC 2024","16563","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Jan 23 02:37:41 UTC 2024","Tue Jan 23 02:37:53 UTC 2024","11530","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Tue Jan 23 03:37:58 UTC 2024","Tue Jan 23 03:38:08 UTC 2024","9616","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
